job_title;experience_level;age;salary;company_size
Data Scientist;Senior;70;123395;471
Data Engineer;Senior;70;101395;19
Data Architect;Senior;70;84414;35
Data Scientist;Senior;70;111847;33
Data Scientist;Senior;70;89085;613
Data Engineer;Senior;70;154447;734
Analytics Engineer;Senior;70;103290;1169
Data Architect;Senior;70;113183;1325
Machine Learning Engineer;Senior;70;101476;1125
Data Engineer;Senior;70;127246;212
Data Architect;Senior;70;104362;124
Research Engineer;Senior;70;79877;165
Data Analyst;Senior;69;106433;408
Data Engineer;Senior;69;105101;183
Data Manager;Director;69;194183;15
Data Engineer;Senior;69;126495;452
Data Engineer;Director;69;150154;1117
Data Scientist;Senior;69;130265;1288
Data Scientist;Senior;69;146967;341
Data Engineer;Senior;69;94681;419
ML Engineer;Senior;68;128582;168
Data Scientist;Senior;68;72629;460
Data Architect;Senior;68;94942;458
Data Engineer;Senior;68;106062;46
Data Engineer;Senior;68;147761;24
Data Manager;Director;68;195206;31
Data Engineer;Senior;68;132471;467
Data Scientist;Senior;68;78406;1343
Machine Learning Scientist;Senior;68;134035;673
Machine Learning Engineer;Senior;68;149367;1477
Data Scientist;Senior;68;122439;1267
Analytics Engineer;Senior;68;101814;210
Data Engineer;Senior;68;80603;276
Data Architect;Senior;68;146116;295
Data Engineer;Senior;67;81611;163
Data Lead;Director;67;166324;387
Data Engineer;Senior;67;108374;225
Data Engineer;Director;67;196542;226
Applied Scientist;Senior;67;109916;22
Data Engineer;Senior;67;140583;43
Machine Learning Scientist;Senior;67;106913;39
Data Scientist;Senior;67;138324;32
Data Analyst;Senior;67;116957;457
Data Engineer;Senior;67;107836;756
Applied Scientist;Senior;67;114307;208
Data Manager;Director;67;152080;89
Machine Learning Engineer;Senior;67;142201;1019
Data Analyst;Senior;67;169555;436
Data Science Consultant;Senior;66;102066;405
AI Engineer;Senior;66;140960;53
Business Intelligence Engineer;Senior;66;144813;49
Data Scientist;Senior;66;169150;629
Research Analyst;Senior;66;140143;781
Data Engineer;Senior;66;143214;1079
Data Science Manager;Senior;66;120102;545
Data Manager;Senior;66;124383;817
Machine Learning Engineer;Senior;66;160671;649
Director of Data Science;Director;66;164646;125
Data Analyst;Director;66;153506;171
Data Scientist;Senior;66;107489;242
Data Analyst;Senior;65;74795;412
Data Lead;Director;65;158999;257
Data Product Manager;Senior;65;112513;361
Data Scientist;Senior;65;129347;216
Data Scientist;Senior;65;86709;48
Data Quality Analyst;Senior;65;145765;32
Data Architect;Senior;65;118124;44
Data Analyst;Senior;65;96673;197
Data Engineer;Senior;65;148564;356
Data Scientist;Senior;65;83781;1383
Data Engineer;Senior;65;131842;807
Data Engineer;Senior;65;86871;674
Machine Learning Engineer;Senior;65;121876;559
Data Science Manager;Senior;65;117989;708
Data Analyst;Senior;65;138031;795
Data Manager;Senior;65;127460;722
Data Engineer;Senior;65;89108;1150
Data Scientist;Senior;65;87089;1076
Machine Learning Engineer;Senior;65;138046;493
Research Engineer;Senior;65;85311;394
Data Analyst;Director;65;159128;383
Business Intelligence Analyst;Senior;65;130440;352
Data Engineer;Senior;64;148532;211
Data Scientist;Senior;64;136280;410
Data Scientist;Senior;64;74042;45
Data Scientist;Senior;64;145351;15
Data Analyst;Senior;64;105870;34
Data Scientist;Senior;64;118716;94
Machine Learning Engineer;Senior;64;82469;561
Data Scientist;Senior;64;113301;1267
Data Scientist;Senior;64;81355;1370
Data Engineer;Senior;63;136434;94
Data Scientist;Senior;63;91334;144
Data Analyst;Senior;63;82525;268
Data Analyst;Senior;63;90465;45
Data Engineer;Senior;63;95921;19
Data Manager;Senior;63;89799;25
Data Engineer;Senior;63;85039;17
Data Engineer;Senior;63;84236;414
Data Engineer;Senior;63;125415;191
Data Analyst;Senior;63;137028;125
Analytics Engineer;Senior;63;106429;904
Data Engineer;Senior;63;96345;1293
Data Analyst;Senior;62;103229;255
Data Engineer;Senior;62;107564;118
Data Engineer;Senior;62;134380;240
Data Quality Analyst;Senior;62;118363;33
Data Engineer;Senior;62;117757;15
Machine Learning Engineer;Senior;62;117930;43
Data Scientist;Senior;62;76378;11
Business Intelligence Engineer;Senior;62;95919;12
Data Scientist;Senior;62;81038;11
Data Scientist;Senior;62;109341;24
